atol    1e-9
length    1.0
m_N    2
m_end    4.954955
m_start    0.4954955
mode    TE011
omega    4.954955e+00
phi_N    1
phi_end    0.0
phi_start    0.0
r_N    100
r_end    1.0000001
r_start    0.0
radius    1.0
rtol    1e-6
z_N    1
z_end    1e-4
z_start    1e-4

m    r    phi    z    Re[j_r]    error_Re[j_r]    Im[j_r]    error_Im[j_r]    Re[j_phi]    error_Re[j_phi]    Im[j_phi]    error_Im[j_phi]    Re[j_z]    error_Re[j_z]    Im[j_z]    error_Im[j_z]  
------------------------------------------------------------------------------

0.4954955  0  0  0.0001  8.058577909879684e-19  -3.5290598230252616e-16  -2.028097143672873e-18  -3.207130047081124e-16  1.6649468358980814e-18  -3.586694514593916e-16  3.426723097796922e-21  -3.25952780924432e-16  -0  -0  -0  -0  
0.4954955  0.010101011111111112  0  0.0001  1.502310332753513e-18  -3.52689459431016e-16  -1.3183204656831187e-18  -3.2074914488455e-16  -2.5953377889675135e-05  -1.7263019676213114e-10  2.9014566055940338e-05  -1.0405385520872715e-11  -0  -0  -0  -0  
0.4954955  0.020202022222222223  0  0.0001  1.239155081027762e-18  -3.522709130967614e-16  -1.217551488693029e-18  -3.2051529121171504e-16  -5.189399014163198e-05  -5.400499360227808e-11  5.797229617571076e-05  -2.332871492792699e-10  -0  -0  -0  -0  
0.4954955  0.030303033333333333  0  0.0001  1.3622428265252487e-18  -3.5165149632236086e-16  4.168244319879002e-19  -3.200132241635119e-16  -7.78090574416977e-05  -1.5542159214454213e-09  8.681646775671825e-05  -1.0902467863390459e-09  -0  -0  -0  -0  
0.4954955  0.04040404444444445  0  0.0001  2.478313276873267e-18  -3.508311752166322e-16  -6.345782880409342e-19  -3.1923959379500916e-16  -0.0001036857859395091  -2.3110981111621797e-09  0.00011549058463013748  -2.635742343497526e-09  -0  -0  -0  -0  
0.4954955  0.05050505555555556  0  0.0001  4.0162155902690607e-19  -3.498109004581141e-16  -2.761316563788783e-19  -3.1820115464498036e-16  -0.0001295112922600858  -3.316323352677219e-09  0.0001439384896948643  -4.040841398621401e-09  -0  -0  -0  -0  
0.4954955  0.060606066666666666  0  0.0001  1.9366434420947227e-18  -3.4859320659616333e-16  -1.0229249624794815e-18  -3.1689182616850167e-16  -0.00015527273403186657  -7.471384971214675e-10  0.0001721044768532278  -3.6855185592981134e-09  -0  -0  -0  -0  
0.4954955  0.07070707777777778  0  0.0001  3.208385231535425e-19  -3.4717899276197596e-16  -9.853505919156218e-19  -3.1533104656413723e-16  -0.0001809570701346827  -2.0560780738780933e-09  0.00019993340201828353  -6.606465849947956e-10  -0  -0  -0  -0  
0.4954955  0.0808080888888889  0  0.0001  2.6596099731941665e-18  -3.4556793135985055e-16  3.305592148566959e-19  -3.134972635074306e-16  -0.0002065513190152326  -5.430004801690838e-13  0.00022737079296381827  -5.564512804700752e-09  -0  -0  -0  -0  
0.4954955  0.09090909999999999  0  0.0001  1.5570722133702371e-18  -3.4375890229634164e-16  -9.06992538202792e-19  -3.114074435241119e-16  -0.00023204232289329393  -1.0073213034002562e-09  0.0002543629577909825  -7.40660187849103e-15  -0  -0  -0  -0  
